ID,political_response,legal_response,weighted_cyber_intensity,response,start_date,year,month,receiver_country,initiator_country,incident_type,receiver_region
2,0,0,1,0,2000-01-01,2000.0,1.0,Armenia,Azerbaijan,Disruption,"['ASIA', 'CENTAS', 'CSTO']"
3,0,0,1,0,2000-01-01,2000.0,1.0,Azerbaijan,Armenia,Disruption,"['ASIA', 'CENTAS']"
4,0,0,1,0,2000-05-20,2000.0,5.0,Taiwan,China,Disruption,"['ASIA', 'SCS']"
5,0,0,1,0,2001-05-01,2001.0,5.0,United States,China,Disruption,"['NATO', 'NORTHAM']"
6,0,0,1,0,2001-05-01,2001.0,5.0,China,United States,Disruption,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
7,0,0,1,0,2001-05-01,2001.0,5.0,Japan,"Korea, Republic of",Disruption,"['ASIA', 'SCS', 'NEA']"
8,0,0,1,0,2001-08-01,2001.0,8.0,Afghanistan,Unknown,Disruption,"['ASIA', 'SASIA']"
9,0,0,1,0,2001-10-22,2001.0,10.0,India,Pakistan,Disruption,"['ASIA', 'SASIA', 'SCO']"
10,0,0,2,0,2002-01-01,2002.0,1.0,United States,United States,Data theft,"['NATO', 'NORTHAM']"
11,0,0,2,0,2003-01-01,2003.0,1.0,United States,China,Data theft,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
11,0,0,2,0,2003-01-01,2003.0,1.0,United Kingdom,China,Data theft,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
13,0,0,1,0,2004-04-01,2004.0,4.0,"Korea, Republic of","Korea, Democratic People's Republic of",Disruption,"['ASIA', 'SCS', 'NEA']"
14,0,0,1,0,2004-07-01,2004.0,7.0,Taiwan,China,Disruption,"['ASIA', 'SCS']"
15,0,0,1,0,2004-07-01,2004.0,7.0,"Korea, Republic of",China,Data theft,"['ASIA', 'SCS', 'NEA']"
16,0,0,3,0,2004-07-01,2004.0,7.0,Greece,United States,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
16,0,0,3,0,2004-07-01,2004.0,7.0,Greece,United States,Hijacking with Misuse,"['EUROPE', 'NATO', 'EU(MS)', 'BALKANS']"
17,0,0,1,0,2005-01-01,2005.0,1.0,Japan,China,Disruption,"['ASIA', 'SCS', 'NEA']"
17,0,0,1,0,2005-01-01,2005.0,1.0,Japan,"Korea, Republic of",Disruption,"['ASIA', 'SCS', 'NEA']"
